actor_id,type,actor_id_type,new_actor_type,old_actor_type,actor_name,actor,actor_detail,abbreviation,short_actor_name,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,hyperlink
641,CON,CON_641,Country/State,Country/State,Seychelles,Seychelles,,,Seychelles,Seychelles,SYC,690.0,,,SEY,591.0,Africa,,,Government of Seychelles (2020-),Government of Seychelles (2016-2020) | Government of Seychelles (2020-),Seychelles | SEYCHELLES,Seychelles is a Country/State in Africa. ,
669,CON,CON_669,Country/State,Country/State,Vatican City,Vatican City,,PAP,PAP,Holy See,VAT,336.0,327.0,PAP,PAP,327.0,Europe,,,Government of Vatican City (2013-),Government of Vatican City (2013-),Papal States | HOLY SEE (VATICAN CITY STATE) | VATICAN CITY,Vatican City is a Country/State in Europe. ,
670,CON,CON_670,Country/State,Country/State,Panama,Panama,,PAN,PAN,Panama,PAN,591.0,95.0,PAN,PAN,95.0,Americas,16.0,Government of Panama,Government of Panama (2019-),Government of Panama (2019-),Panama | PANAMA | PANAMA,Panama is a Country/State in Americas. ,
671,OTH,OTH_671,Other,Other,Central Bank of Sri Lanka,Central Bank of Sri Lanka,,,Central Bank of Sri Lanka,Sri Lanka,LKA,144.0,780.0,SRI,SRI,780.0,Asia,,,,,,Central Bank of Sri Lanka is an actor categorised as type 'other'. They are based in Sri Lanka. ,
672,IGO,IGO_672,Intergovernmental Organization,IGO,UN Office on Drugs and Crimes,United Nations,UN Office on Drugs and Crimes,UNODC,UNODC,,,,,,,,,,,,, | UN Office Drugs Crimes ( UNODC | UN Office on Drugs and Crimes | United Nations Office on Drugs and Crime,"The UN Office on Drugs and Crimes (UNODC) is an office of the United Nations, which focus is on trafficking and abuse of illicit drugs, crime prevention, criminal justice, international terrorism and political corruption. It is a member of the United Nations Development Group.",
673,IGO,IGO_673,Intergovernmental Organization,IGO,World Food Program,United Nations,World Food Program,WFP,WFP,,,,,,,,,,,,,World Food Program || WFP || World Food Programme | World Food Programme | WFP | World Food Program | World Food Program  |  WFP  |  World Food Programme,"World Food Program (WFP) is an IGO, with affiliations to Global Development IGOs (United Nations). They are also referred to as World Food Program || WFP || World Food Programme",
674,IGO,IGO_674,Intergovernmental Organization,IGO,United Nations Population Fund,United Nations,United Nations Population Fund,UNFPA,UNFPA,,,,,,,,,,,,,United Nations Population Fund | ,"United Nations Population Fund (UNFPA) is an IGO, with affiliations to Development. They are also referred to as United Nations Population Fund",
675,IGO,IGO_675,Intergovernmental Organization,IGO,International Organization for Migration,United Nations,International Organization for Migration,IOM,IOM,,,,,,,,,,,,,International Organisation For Migration || OrganizaciÃ³n Internacional Para Las Migraciones || IOM || International Organization For Migration || Organisation Internationale Pour Les Migrations |  OrganizaciÃƒÂ³n Internacional Para Las Migraciones  |  International Organization For Migration  |  Organisation Internationale Pour Les Migrations,"International Organization for Migration (IOM) is an IGO, with affiliations to Global Human Rights IGOs (International Government Organizations). They are also referred to as International Organisation For Migration || Organización Internacional Para Las Migraciones || IOM || International Organization For Migration || Organisation Internationale Pour Les Migrations",
676,IGO,IGO_676,Intergovernmental Organization,IGO,Food and Agriculture Organization,United Nations,Food and Agriculture Organization,FAO,FAO,,,,,,,,,,,,,Food And Agriculture Organisation || Organisation Des Nations Unies Pour Lâ€™Alimentation Et Lâ€™Agriculture || Food And Agriculture Organization || ONUAA || FAO |  Organisation Des Nations Unies Pour LÃ¢â‚¬â„¢Alimentation Et LÃ¢â‚¬â„¢Agriculture  |  Food And Agriculture Organization  |  ONUAA  |  FAO | Food & Ag Org,"Food and Agriculture Organization (FAO) is an IGO, with affiliations to Global Agricultural IGOs (United Nations). They are also referred to as Food And Agriculture Organisation || Organisation Des Nations Unies Pour L’Alimentation Et L’Agriculture || Food And Agriculture Organization || ONUAA || FAO",
677,IGO,IGO_677,Intergovernmental Organization,IGO,World Health Organization,United Nations,World Health Organization,WHO,WHO,,,,,,,,,,,,,WHO || World Health Organization || World Health Organisation |  World Health Organization  |  World Health Organisation | World Health Org | World Health Organization,"World Health Organization (WHO) is an IGO, with affiliations to Global Health IGOs (United Nations). They are also referred to as WHO || World Health Organization || World Health Organisation",
678,IGO,IGO_678,Intergovernmental Organization,IGO,"United Nations Educational, Scientific and Cultural Organization",United Nations,"United Nations Educational, Scientific and Cultural Organization",UNESCO,UNESCO,,,,,,,,,,,,,"UNESCO || United Nations Educational, Scientific And Cultural Organization || United Nations Educational, Scientific And Cultural Organisation |  United Nations Educational, Scientific And Cultural Organization  |  United Nations Educational, Scientific And Cultural Organisation | UN Education, Scientific, & Cultural Org | United Nations Educational, Scientific, and Cultural Organization (UNESCO)","United Nations Educational, Scientific and Cultural Organization (UNESCO) is an IGO, with affiliations to Global Information / Communication / Transparency IGOs (United Nations). They are also referred to as UNESCO || United Nations Educational, Scientific And Cultural Organization || United Nations Educational, Scientific And Cultural Organisation",
679,IGO,IGO_679,Intergovernmental Organization,IGO,International Fund for Agricultural Development (IFAD),International Fund for Agricultural Development (IFAD),,IFAD,IFAD,,,,,,,,,,,,, | Int Fund for Agriculture & Development | International Fund for Agricultural Development (IFAD),The International Fund for Agricultural Development (IFAD) is an international financial institution and a specialised agency of the United Nations that works to address poverty and hunger in rural areas of developing countries. It is also referred to as Int Fund for Agriculture & Development || International Fund for Agricultural Development (IFAD),
680,IGO,IGO_680,Intergovernmental Organization,IGO,Asian Productivity Organization,Asian Productivity Organization,,APO,APO,,,,,,,,,,,,,Asian Productivity Organisation | Asian Productivity Organization | Asian Productivity Organisation,"The Asian Productivity Organization (APO) is an IGO, consisting of a union of 21 Asian countries that join forces to promote socio-economic development in the region and among members. It is also referred to as Asian Productivity Organisation",
681,IGO,IGO_681,Intergovernmental Organization,IGO,Multilateral Investment Guarantee Agency (MIGA),Multilateral Investment Guarantee Agency (MIGA),,MIGA,MIGA,,,,,,,,,,,,, | Multilateral Investment Guarantee Agency | Multilateral Investment Guarantee Agency (MIGA),The Multilateral Investment Guarantee Agency (MIGA) is an IGO/international financial institution. It is part of the World Bank Group. It is also referred to as MIGA,
682,ENT,ENT_682,Entity,Entity,Czechoslovakia,Czechoslovakia,,,Czechoslovakia,,CSK,,,,,,,,,,,,"Czechoslovakia is classed as an entity, as it does not fit the requirements to be a Country/State. ",
688,COA,COA_688,State Coalition,State Coalition,Group of Eight,Group of Eight,,G8,G8,,,,,,,,,,,,,,"The Group of 8 (G8) was an state coalition. Its members included: United Kingdom | United States | France | Germany | Italy | Japan | Russia. Russia left in 2014, resulting in the remaining members to be the Group of Seven (G7).",
716,NGO,NGO_716,Non-governmental Organization,Civil Society,Civil Society Representative,Civil Society Representative,,,Civil Society Representative,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,,
717,NGO,NGO_717,Non-governmental Organization,Civil Society,Women's Bloc Representative,Women's Bloc Representative,,,Women's Bloc Representative,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,,
718,UMB,UMB_718,Umbrella,Umbrella,Other Political Parties,Other Political Parties,,OPP,OPP,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"Other Political Parties (OPP) is an umbrella organization, based in South Sudan. ",
719,NGO,NGO_719,Non-governmental Organization,Civil Society,Eminent Personalities Representative,Eminent Personalities Representative,,,Eminent Personalities Representative,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,,
727,OTH,OTH_727,Other,Other,House of Representatives,House of Representatives,,,House of Representatives,Libya,LBY,434.0,620.0,LIB,LIB,620.0,Africa,,,,,,House of Representatives is an actor categorised as type 'other'. They are based in Libya. ,
750,IGO,IGO_750,Intergovernmental Organization,IGO,UNSMIL,UN Mission,UNSMIL,UNSMIL,UNSMIL,,,,,,,,,,,,,United Nations Support Mission in Libya | UNSMIL - United Nations | United Nations Support Mission,UNSMIL (United Nations Support Mission in Libya) is a UN Mission. ,
753,ARM,ARM_753,Armed Organization,Armed Group,DKBA-5,DKBA-5,,,DKBA-5,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,,,,,,"DKBA-5  are an Armed Organization, based in Myanmar. ",
754,ARM,ARM_754,Armed Organization,Armed Group,Karen National Union,Karen National Union,,,Karen National Union,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,,,,,,"Karen National Union  are an Armed Organization, based in Myanmar. ",
755,ARM,ARM_755,Armed Organization,Armed Group,Pa-O National Liberation Army,Pa-O National Liberation Army,,,Pa-O National Liberation Army,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,,,,,,"Pa-O National Liberation Army  are an Armed Organization, based in Myanmar. ",
756,ARM,ARM_756,Armed Organization,Armed Group,Restoration Council of Shan State,Restoration Council of Shan State,,,Restoration Council of Shan State,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,,,,,,"Restoration Council of Shan State  are an Armed Organization, based in Myanmar. ",
757,ARM,ARM_757,Armed Organization,Political Party/Armed Group,Lahu Democratic Union,Lahu Democratic Union,,LDU,LDU,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,,,,,,"Lahu Democratic Union (LDU) are an Armed Organization, based in Myanmar. ",
758,ARM,ARM_758,Armed Organization,Armed Group,Arakan Liberation Party,Arakan Liberation Party,,ALP,ALP,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,1048.0,ALP,ALP/ALA: Arakan Liberation Party/Arakan Liberation Army,,,"Arakan Liberation Party (ALP) are an Armed Organization, based in Myanmar. ",
759,ARM,ARM_759,Armed Organization,Armed Group,All Burma Students Democratic Front,All Burma Students Democratic Front,,,All Burma Students Democratic Front,Myanmar,MMR,104.0,775.0,MYA,MYA,775.0,Asia,,,,,,"All Burma Students Democratic Front  are an Armed Organization, based in Myanmar. ",
901,ARM,ARM_901,Armed Organization,Armed Group,National Salvation Front,National Salvation Front,,NAS,NAS,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,6794.0,NAS,NAS: National Salvation Front,,,"National Salvation Front (NAS) are an Armed Organization, based in South Sudan. ",
902,ARM,ARM_902,Armed Organization,Armed Group,South Sudan Patriotic Movement/Army,South Sudan Patriotic Movement/Army,,SSPM/A,SSPM/A,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,SSPM/A: South Sudan Patriotic Movement/Army,,,"South Sudan Patriotic Movement/Army (SSPM/A) are an Armed Organization, based in South Sudan. ",
903,ARM,ARM_903,Armed Organization,Armed Group,South Sudan National Movement for Change,South Sudan National Movement for Change,,SSNMC,SSNMC,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,SSNMC: South Sudan National Movement for Change,,,"South Sudan National Movement for Change (SSNMC) are an Armed Organization, based in South Sudan. ",
904,ARM,ARM_904,Armed Organization,Armed Group,South Sudan Liberation Movement/Army,South Sudan Liberation Movement/Army,,SSLM/A,SSLM/A,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,1124.0,SSLM/A,SSLM/A: South Sudan Liberation Movement/Army (Splinter Faction),, South Sudan National Liberation Movement,"South Sudan Liberation Movement/Army (SSLM/A) are an Armed Organization, based in South Sudan. ",
905,ARM,ARM_905,Armed Organization,Armed Group,South Sudan United Movement/Army,South Sudan United Movement/Army,,SSUM,SSUM,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,1037.0,SSUM/A,,,,"South Sudan United Movement/Army (SSUM) are an Armed Organization, based in South Sudan. ",
906,ARM,ARM_906,Armed Organization,Armed Group,National Democratic Movement,National Democratic Movement,,NDM,NDM,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,NDM: National Democratic Movement,,,"National Democratic Movement (NDM) are an Armed Organization, based in South Sudan. ",
907,ARM,ARM_907,Armed Organization,Armed Group,South Sudan Armed Forces,South Sudan Armed Forces,,SSAF,SSAF,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,SSAF: South Sudan Armed Forces,,,"South Sudan Armed Forces (SSAF) are an Armed Organization, based in South Sudan. ",
908,ARM,ARM_908,Armed Organization,Political Party/Armed Group,Federal Democratic Party,Federal Democratic Party,,FDP,FDP,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,FDP: Federal Democratic Party,,,"Federal Democratic Party (FDP) are an Armed Organization, based in South Sudan. ",
912,ARM,ARM_912,Armed Organization,Armed Group,Libyan National Army,Libyan National Army,,LNA,LNA,Libya,LBY,434.0,620.0,LIB,LIB,620.0,Africa,7072.0,LNA,,,,"Libyan National Army (LNA) are an Armed Organization, based in Libya. ",
917,UMB,UMB_917,Umbrella,Umbrella,South Sudan Opposition Alliance,South Sudan Opposition Alliance,,SSOA,SSOA,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"South Sudan Opposition Alliance (SSOA) is an umbrella organization, based in South Sudan. ",
918,COA,COA_918,State Coalition,State Coalition,Troika Countries,Troika Countries,,,Troika Countries,,,,,,,,,,,,,,References to the Troika Countries in this dataset refers to: Norway | United Kingdom | United States. ,
919,NGO,NGO_919,Non-governmental Organization,Civil Society,Youth Representative,Youth Representative,,,Youth Representative,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,,
920,POL,POL_920,Political Party,Political Party,United Democratic Salvation Front,United Democratic Salvation Front,,,United Democratic Salvation Front,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"United Democratic Salvation Front  is a Political Party, based in South Sudan. ",
921,UMB,UMB_921,Umbrella,Umbrella,National Alliance of Political Parties,National Alliance of Political Parties,,,National Alliance of Political Parties,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"National Alliance of Political Parties  is an umbrella organization, based in South Sudan. ",
922,POL,POL_922,Political Party,Political Party,United Sudan African Party,United Sudan African Party,,,United Sudan African Party,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"United Sudan African Party  is a Political Party, based in South Sudan. ",
923,POL,POL_923,Political Party,Political Party,United Democratic Party,United Democratic Party,,,United Democratic Party,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"United Democratic Party  is a Political Party, based in South Sudan. ",
924,POL,POL_924,Political Party,Political Party,African National Congress,African National Congress,,,African National Congress,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"African National Congress  is a Political Party, based in South Sudan. ",
929,OTH,OTH_929,Other,Other,High Council of State,High Council of State,,,High Council of State,Libya,LBY,434.0,620.0,LIB,LIB,620.0,Africa,,,,,,High Council of State is an actor categorised as type 'other'. They are based in Libya. ,
988,COA,COA_988,State Coalition,State Coalition,Group of Five for the Sahel,Group of Five for the Sahel,,G5 Sahel,G5 Sahel,,,,,,,,,,,,,,"The Group of Five for the Sahel is a state coalition consisting of the following members: Burkina Faso | Chad | Mali | Mauritania | Niger. More can be found on this here: https://www.interpol.int/en/Crimes/Terrorism/Counter-terrorism-projects/G5-Sahel#:~:text=The%20Group%20of%20Five%20for,%2C%20Mali%2C%20Mauritania%20and%20Niger. ","https://www.interpol.int/en/Crimes/Terrorism/Counter-terrorism-projects/G5-Sahel#:~:text=The%20Group%20of%20Five%20for,%2C%20Mali%2C%20Mauritania%20and%20Niger."
1074,POL,POL_1074,Political Party,edit,NI Women's Coalition,NI Women's Coalition,,NIWC,,Northern Ireland,GBR-NI,,,,,,,,,,,Northern Ireland Women's Coalition,"NI Women's Coalition (NIWC) is a Political Party actor, based Northern Ireland. ",
1075,NGO,NGO_1075,Non-governmental Organization,edit,Gender Empowerment for South Sudan Organisation,Gender Empowerment for South Sudan Organisation,,,,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,,,,,,"Gender Empowerment for South Sudan Organisation  is a Non-governmental Organization actor, based South Sudan. ",
